iter	Passed	Remaining
0	19	1932
1	37	1823
2	55	1781
3	82	1983
4	120	2294
5	149	2339
6	171	2276
7	189	2174
8	206	2085
9	223	2015
10	240	1949
11	258	1897
12	276	1847
13	293	1805
14	312	1769
15	330	1733
16	347	1697
17	366	1667
18	384	1638
19	401	1605
20	417	1571
21	434	1540
22	451	1510
23	469	1487
24	486	1459
25	503	1432
26	520	1407
27	540	1389
28	557	1365
29	574	1341
30	612	1363
31	635	1350
32	652	1325
33	670	1302
34	701	1303
35	722	1284
36	739	1259
37	757	1235
38	774	1211
39	791	1187
40	809	1165
41	827	1142
42	844	1120
43	861	1096
44	879	1075
45	896	1052
46	913	1029
47	931	1008
48	948	987
49	965	965
50	985	946
51	1001	924
52	1018	903
53	1035	882
54	1052	861
55	1071	841
56	1090	822
57	1108	802
58	1126	782
59	1144	763
60	1162	743
61	1178	722
62	1197	703
63	1214	683
64	1231	663
65	1249	643
66	1268	624
67	1285	605
68	1317	591
69	1337	573
70	1356	554
71	1372	533
72	1391	514
73	1408	495
74	1427	475
75	1446	456
76	1464	437
77	1480	417
78	1497	398
79	1515	378
80	1533	359
81	1550	340
82	1568	321
83	1584	301
84	1602	282
85	1621	263
86	1640	245
87	1657	225
88	1673	206
89	1690	187
90	1707	168
91	1724	149
92	1743	131
93	1761	112
94	1777	93
95	1794	74
96	1811	56
97	1826	37
98	1872	18
99	1895	0
